date,total_value
2024-05-30,9968.50232231783
2024-05-31,10003.142332010288
2024-06-01,10003.142332010288
2024-06-02,10003.142332010288
2024-06-03,10026.58433137011
2024-06-04,10035.360042133505
2024-06-05,10209.05711037587
2024-06-06,10194.518446016551
2024-06-07,10213.248359976387
2024-06-08,10213.248359976387
2024-06-09,10213.248359976387
2024-06-10,10260.139075534116
2024-06-11,10384.573902517255
2024-06-12,10518.660192169946
2024-06-13,10508.927438570448
2024-06-14,10523.218247424977
2024-06-15,10523.218247424977
2024-06-16,10523.218247424977
2024-06-17,10632.96354058103
2024-06-18,10618.321886369697
2024-06-19,10618.321886369697
2024-06-20,10586.370688895673
2024-06-21,10566.356070413116
2024-06-22,10566.356070413116
2024-06-23,10566.356070413116
2024-06-24,10544.171156836155
2024-06-25,10653.077921376098
2024-06-26,10665.353958693562
2024-06-27,10727.840842112944
2024-06-28,10636.552000525822
2024-06-29,10636.552000525822
2024-06-30,10636.552000525822
2024-07-01,10713.659538704082
2024-07-02,10803.786820243622
2024-07-03,10843.357558425778
2024-07-04,10843.357558425778
2024-07-05,11031.674696427059
2024-07-06,11031.674696427059
2024-07-07,11031.674696427059
2024-07-08,11025.498863637054
2024-07-09,11019.808457106863
2024-07-10,11141.144905193954
2024-07-11,10946.20579549713
2024-07-12,10967.19696773138
2024-07-13,10967.19696773138
2024-07-14,10967.19696773138
2024-07-15,11020.221622938723
2024-07-16,11024.672348581464
2024-07-17,10695.110876505983
2024-07-18,10591.657043055533
2024-07-19,10562.627618581899
2024-07-20,10562.627618581899
2024-07-21,10562.627618581899
2024-07-22,10694.023137317186
2024-07-23,10727.723832377313
2024-07-24,10341.970474592476
2024-07-25,10196.820354096324
2024-07-26,10295.007198207022
2024-07-27,10295.007198207022
2024-07-28,10295.007198207022
2024-07-29,10301.062545765204
2024-07-30,10244.35448333609
