date,total_value
2023-08-14,10653.015756900724
2023-08-15,10531.374154360288
2023-08-16,10474.075675445829
2023-08-17,10442.435082554377
2023-08-18,10495.47339233009
2023-08-19,10495.47339233009
2023-08-20,10495.47339233009
2023-08-21,10534.149463192287
2023-08-22,10453.8667019833
2023-08-23,10498.80005553118
2023-08-24,10433.9520454609
2023-08-25,10482.131567739947
2023-08-26,10482.131567739947
2023-08-27,10482.131567739947
2023-08-28,10530.00732353095
2023-08-29,10606.454791950424
2023-08-30,10616.985257113058
2023-08-31,10610.658222590711
2023-09-01,10718.679080767764
2023-09-02,10718.679080767764
2023-09-03,10718.679080767764
2023-09-04,10718.679080767764
2023-09-05,10657.229182737718
2023-09-06,10621.653606308138
2023-09-07,10649.594769782168
2023-09-08,10729.00153924345
2023-09-09,10729.00153924345
2023-09-10,10729.00153924345
2023-09-11,10732.464917511372
2023-09-12,10795.953126447856
2023-09-13,10766.352482430904
2023-09-14,10868.167508827026
2023-09-15,10747.474008453517
2023-09-16,10747.474008453517
2023-09-17,10747.474008453517
2023-09-18,10761.17642970807
2023-09-19,10748.233337499341
2023-09-20,10715.459817912737
2023-09-21,10572.383203986688
2023-09-22,10548.738376572239
2023-09-23,10548.738376572239
2023-09-24,10548.738376572239
2023-09-25,10603.355860397623
2023-09-26,10519.314387293329
2023-09-27,10575.381979385842
2023-09-28,10604.501321439226
2023-09-29,10498.003385446094
2023-09-30,10498.003385446094
2023-10-01,10498.003385446094
2023-10-02,10406.851561195406
2023-10-03,10292.147255091966
2023-10-04,10264.716437886753
2023-10-05,10281.070100302868
2023-10-06,10356.47016621337
2023-10-07,10356.47016621337
2023-10-08,10356.47016621337
2023-10-09,10520.125025450767
2023-10-10,10570.388446657471
2023-10-11,10605.988020459026
2023-10-12,10577.742361158884
2023-10-13,10642.490060871696
2023-10-14,10642.490060871696
2023-10-15,10642.490060871696
2023-10-16,10740.95832235842
2023-10-17,10790.309282157894
2023-10-18,10738.191816629631
2023-10-19,10629.949636917683
2023-10-20,10491.696529637453
2023-10-21,10491.696529637453
2023-10-22,10491.696529637453
2023-10-23,10398.573200989955
2023-10-24,10444.904993782584
2023-10-25,10408.671316402977
2023-10-26,10329.62398494946
2023-10-27,10137.676538364121
2023-10-28,10137.676538364121
2023-10-29,10137.676538364121
2023-10-30,10229.748805769295
2023-10-31,10272.710976269651
2023-11-01,10326.596776295082
2023-11-02,10555.203347646635
2023-11-03,10577.339175501382
2023-11-04,10577.339175501382
2023-11-05,10577.339175501382
2023-11-06,10602.419497523213
2023-11-07,10541.092249281743
2023-11-08,10529.914323992398
2023-11-09,10403.363262247563
2023-11-10,10516.73137307685
2023-11-11,10516.73137307685
2023-11-12,10516.73137307685
2023-11-13,10564.420786390392
2023-11-14,10678.817373502447
2023-11-15,10625.702306186251
2023-11-16,10556.747388271118
2023-11-17,10643.751310588714
2023-11-18,10643.751310588714
2023-11-19,10643.751310588714
2023-11-20,10683.204455104053
2023-11-21,10651.709175968444
2023-11-22,10676.533017603293
2023-11-23,10676.533017603293
2023-11-24,10714.787684164681
2023-11-25,10714.787684164681
2023-11-26,10714.787684164681
2023-11-27,10673.191199522193
2023-11-28,10659.767766021807
2023-11-29,10660.047955337968
